Order ID,Pick Slip ID,Product ID,Product Description,Date/Time Returned,Return Line Qty Returned,Return Line Disposition
#143885,333329,FM-TOF-4041,TOFFEE-SLIDES-4041,05/02/2025 13:14:00,1,Return to Stock
#144272,334955,FM-TOF-4647,TOFFEE-SLIDES-4647,05/01/2025 14:58:00,1,Return to Stock
#142518,307016,FM-TOF-2627,TOFFEE-SLIDES-2627,02/18/2025 14:50:00,1,Return to Stock
#142518,307016,FM-TOF-2829,TOFFEE-SLIDES-2829,02/18/2025 14:50:00,1,Return to Stock
#142518,307016,FM-TOF-3233,TOFFEE-SLIDES-3233,02/18/2025 14:50:00,1,Return to Stock
#142930,328559,FM-SIL-3435,SILVERADO-SLIDES-3435,03/07/2025 10:32:00,1,Return to Stock
#143608,332116,FM-SIL-3435,SILVERADO-SLIDES-3435,05/02/2025 13:25:00,1,Return to Stock
#142851,327250,FM-SIL-3536,SILVERADO-SLIDES-3536,03/04/2025 15:53:00,1,Return to Stock
#143608,332116,FM-SIL-3536,SILVERADO-SLIDES-3536,05/02/2025 13:25:00,1,Return to Stock
#143608,332116,FM-SIL-3637,SILVERADO-SLIDES-3637,05/02/2025 13:25:00,1,Return to Stock
#142804,326792,FM-SIL-3839,SILVERADO-SLIDES-3839,02/25/2025 14:55:00,1,Return to Stock
#142345,306398,FM-SND-3435,SANDS-SLIDES-3435,01/14/2025 14:46:00,1,Return to Stock
#143038,329245,FM-SND-3435,SANDS-SLIDES-3435,03/20/2025 10:50:00,1,Return to Stock
#144111,334303,FM-SND-3536,SANDS-SLIDES-3536,05/01/2025 14:59:00,1,Return to Stock
#144699,336365,FM-SND-3637,SANDS-SLIDES-3637,05/13/2025 11:07:00,1,Return to Stock
#143991,333839,FM-SND-3738,SANDS-SLIDES-3738,05/13/2025 09:22:00,1,Return to Stock
#144238,334821,FM-SND-3738,SANDS-SLIDES-3738,05/13/2025 09:47:00,1,Return to Stock
#144238,334821,FM-SND-3839,SANDS-SLIDES-3839,05/13/2025 09:47:00,1,Return to Stock
#141506,285071,FM-SND-3940,SANDS-SLIDES-3940,12/05/2024 15:11:00,1,Return to Stock
#142345,306398,FM-SND-3940,SANDS-SLIDES-3940,01/14/2025 14:46:00,1,Return to Stock
112,327643,FM-PAR-3637,PARMA-SLIDES-3637,03/12/2025 16:14:00,1,Return to Stock
#143838,333150,FM-PAR-3637,PARMA-SLIDES-3637,04/25/2025 11:30:00,1,Return to Stock
#142530,307174,FM-PAR-2829,PARMA-SLIDES-2829,01/23/2025 13:36:00,1,Return to Stock
#143556,331904,FM-NAV-3536,NAVY-SLIDES-3536,04/16/2025 14:39:00,1,Return to Stock
#144247,334831,FM-NAV-3536,NAVY-SLIDES-3536,05/02/2025 15:21:00,1,Return to Stock
#142958,328754,FM-NAV-3940,NAVY-SLIDES-3940,03/12/2025 09:37:00,1,Return to Stock
#143199,330250,FM-NAV-4041,NAVY-SLIDES-4041,03/25/2025 10:13:00,1,Return to Stock
#143136,329989,FM-NAV-4142,NAVY-SLIDES-4142,03/25/2025 09:59:00,1,Return to Stock
#141519,285135,FM-NAV-4243,NAVY-SLIDES-4243,01/23/2025 15:47:00,1,Return to Stock
#143747,332872,FM-NAV-4647,NAVY-SLIDES-4647,05/13/2025 11:34:00,1,Return to Stock
#143619,332111,FM-NAV-2627,NAVY-SLIDES-2627,05/01/2025 12:30:00,1,Return to Stock
#143420,331422,FM-NAV-3031,NAVY-SLIDES-3031,04/01/2025 15:22:00,1,Return to Stock
#143932,333423,FM-LAG-3435,LAGOON-SLIDES-3435,04/16/2025 15:05:00,1,Return to Stock
#144247,334831,FM-LAG-3233,LAGOON-SLIDES-3233,05/02/2025 15:21:00,1,Return to Stock
#143758,332864,FM-KHK-3536,KHAKI-SLIDES-3536,04/16/2025 15:23:00,1,Return to Stock
#142261,305014,FM-KHK-3940,KHAKI-SLIDES-3940,01/23/2025 15:46:00,1,Return to Stock
#142310,306119,FM-KHK-4041,KHAKI-SLIDES-4041,01/14/2025 11:20:00,1,Return to Stock
#143124,329838,FM-KHK-4243,KHAKI-SLIDES-4243,05/02/2025 13:20:00,1,Return to Stock
#144356,335383,FM-KHK-4445,KHAKI-SLIDES-4445,05/13/2025 09:59:00,1,Return to Stock
#141475,284541,FM-KHK-4647,KHAKI-SLIDES-4647,11/26/2024 15:17:00,1,Return to Stock
#144037,333886,FM-FUJ-3738,FUJI-SLIDES,04/16/2025 15:18:00,1,Return to Stock
